key,value
zxy7xr4v-5anz-gpb2-lbfg-0g9zg9vj98zt,451231
qe0mpyvs-au4r-ndao-1cdz-9eqhx9ql4y0i,756500
z4101vpg-cx2v-w1l4-bbdh-y0l2tvaxtjec,618342
8korko8y-22py-07ny-fyb9-v03dummkkfi8,537538
pxbxxqff-v0i0-h7xt-6zwr-cbk4lh5s1998,924563
wqf7j6pm-qlvl-czhz-yslx-gao46fldougm,970647
fxegi7da-p6y8-iue5-t3kr-dt5mdyiblvev,510675
0rox1gl3-i7rk-qumv-n3ym-zggen39wv1p2,767013
f39nt0wc-4doq-goev-3w45-mzup3qshfyag,818781
nlc0ahis-5aij-6171-knfm-z1l68axugg5t,453763
fod9q6mn-i79f-ayhc-6ble-7bpkq3h5ptmn,428572
phkto6lb-u3ig-kiwi-mv03-u5lexrxau0ik,668127
xn4dhovd-3srz-l8j2-g02v-vex8srd7grtb,616454
e69r6xb3-6pcu-9qey-3x5y-x8nhcjql8efg,376671
231icl20-x36d-klpr-0a2j-dq9yd5wmhq5o,748735
vcrn8ueg-51ys-xwam-rdqp-1iz54ialeqnh,528326
v3o7c8si-f2x2-m864-b3vl-2vwt83zefo3l,771401
2uohtru5-pg8c-3ler-r0lt-5ffv7y0pakhj,486317
aftazdr1-a949-nia2-hqua-wjwfimbrvapc,311299
pc12ib4g-26za-wavg-hrjh-jwrlbh3rtfup,818641
uzg3lzzl-wj8c-mzj0-7ubm-h9uhjadd5a9w,963908
4yqv3glt-p9z4-llwv-30vn-x2wrgth54qkh,748368
cr96ulkw-ites-kl88-n0gq-noooucdtbkid,406174
cc27140m-zb4d-4r2a-tn3s-ljfj43afh4a3,615197
5xqfs858-798o-8n39-j3sc-i0p7dbwnqbob,918536
rxkjvhj0-39h4-int7-jbu6-bgxu5y2r9svb,909612
y73wd8jg-sf94-9rzj-rkbt-eydd9qvyc4he,731951
h5ifjq2c-q3o6-ismz-cq4u-gj4g489bs005,665602
a5nduujj-h53t-9ei3-qvvy-beoepy74t704,647401
du2ax3oo-np10-oauf-7c3b-culcn6poqcpa,169051
8dtg792p-4xic-umdq-f572-7ufuavc0r0fo,935534
okhlfxtl-jg2a-h54a-rq49-o7rckxs9afwz,847709
eco1zouf-xldf-p1d8-boqs-gzh91t7fjz58,814755
2c8dn3jd-6k3u-to1v-fhvu-qwtvk89b3zhz,902496
hr1125b6-bap5-99u5-qhrq-3xdz3c6decag,167305
mesu4v1y-fome-yzxd-06f0-ay6828eyirvq,265723
mgtck1z1-a9vj-x5c7-75qi-u24ad9gzjqt6,476541
smc1d9eo-vxpq-9q8x-mc2z-jfim88qrxz6c,569580
iw6g1yqb-fn6s-n8o1-e5kl-09w8dinuy5kc,564025
svl43y06-0d7x-u1g4-pudb-el1lqkhiw3d3,993884
tz1oe914-lzhw-34ec-sk09-fobjsliand6w,339820
3d7xpvod-3oey-3goa-qmp8-aifc98e7mz12,370031
8376dqqu-wg0d-kg2a-abak-rb2winfvl8hp,382386
r5eru0y2-40u1-gxeb-u7kf-u4tsd2ywto0f,707753
0d41bb34-wclb-tno1-kazd-0vva39fsmsw2,797620
jc2qe1v8-as1k-46p8-d42u-cnu0bsdk2d0l,447935
wmtgfvl9-7y02-dmj1-ifam-9xj4g1tu3gq3,103082
9bpfxehq-yll0-zx4n-2ne1-8ot2vhws4105,971224
i5h9esbt-33qv-eyfc-cilj-chp1x25lcy68,158659
er2ze3ya-wsgj-a66h-lmlj-bx408nfd7aiy,340454
zwlimwvn-3dcz-wf6q-16kx-l6mhvqu4h1tg,665803
1n0tms4w-v7cd-952n-yfo0-qhmbr0pvtsht,487524
5np6ixmu-k8ma-6b6k-bh90-snk61aqjet8u,570915
bhxqdhg5-19jg-hfen-3070-l2in3axxj4x3,216108
l0zqs3xz-pq04-oott-fbtj-3ebiimchdfgm,420837
2hq9zadi-gvk0-q7u6-8yqd-uyyjsh3p1wv5,450121
a4hqe04u-xelc-utjm-4p3w-5rf0zje6azdg,593608
le7ii1z1-b7r7-in9d-t4bl-rfzj4zq5sh8e,771328
qe6c4u6i-wpl6-pdhh-1ayp-tpuz7phd2bfx,408637
y1zpmlko-wjfi-c6uh-o13p-kfmjf6gfdgi5,900489
0gj2l137-tprs-r61t-x1jo-vg3xw83gp0u9,127761
qiy0ouhr-i2yx-nohk-mdsa-pidhle2u8mh9,475402
0kkn3ab2-juu4-hh2c-mvqk-0yfkdm3iuix2,463385
cyob3nne-b3ei-ppod-bbzo-a698h3g08bnc,350887
wlktf1cz-gwtn-16q0-ija4-rl4y625w54fj,240035
9v3pci54-ju7i-zgk3-tfky-ypomlrxac8of,410111
fe3tihgv-z5kx-0tuj-mjtr-gvj1b9csrsv3,620606
jiqmd9zb-31ui-8kzd-93iz-19213ps05kun,400326
lx7l9530-fylg-lvsf-itfr-rg2kzndyaokk,112741
xedjdilc-pcfl-aerb-hvc0-vmwu82smxkub,709837
64gpqan9-4qcg-akh8-q00b-0ngoqgc2dxfi,584413
au5jt006-7vmq-o46s-gwnb-ii6fawy94r9y,535568
3n6n4oh6-ns68-0q9d-6gnc-vgyextqaxacq,291191
5jemoteq-ofso-fie7-zjox-msaytnv0mjb4,748871
qcl1bavp-e43b-9ni0-dpvy-2j0yktl8zlua,985864
mfekesq5-up7h-qf53-purf-qn4rb2tkqxnv,299908
inurmhsv-gzab-6gu7-vk6p-ssuvmr5joggh,177929
iym31yxc-gwwx-rcte-0qbx-q6s10u899gm5,372340
hysgo03v-ulzk-ltdc-avu1-k3jieqkgso4b,152570
qun742ag-7kp9-kgxa-cvss-60tes8sjkjgx,726698
6fa6jj9o-qy04-8xhw-yhg3-1unvsuaz8dpr,925256
90ivp8od-dv0z-h40h-h4ah-7b4elym2uqix,893572
q445nvgr-07oh-v4wb-xyge-so09yxqi5hik,645649
zzapjhlm-t9z9-l9xc-cenw-1ahy907tmlk0,438418
cg4al3w8-a2gm-67zq-xbpv-muegp3oef7ap,656017
qqqrd6fd-l06h-3ad6-sqhb-suimnq42c3zu,105419
cntnfjen-lc3z-9ojp-6tju-d8erxm6f95xz,628711
olr66jak-w8t9-5epq-gt41-wqq8aym40nvk,214395
euhqtfar-mjk0-hrwh-hq92-4ryash4192lr,535540
eucy6ex1-95nn-y4ot-xojs-081mnbrugg9p,651154
r5aycq48-lql6-2wpe-kt6y-ckx9kq83xgu3,284426
yyypytvz-r6lr-22q5-amla-nylg7l45jgxj,590267
yk7yuisc-52de-0ylc-kiuu-76apir4htta4,807619
850f5w8y-od1e-3p4o-6d6z-19e5gto27uwe,871372
apu3oqc8-j19y-213j-vq7c-oyx7nosbs8qa,215207
0ov39fq7-iub5-mei3-tx0k-tuoarvx1rc2u,343093
63554b4s-8w9k-xabp-l7zb-nq06ls66inpq,856898
89j86ui5-vc8v-xomj-gn02-7o90wmnjvh3e,884320
d53ml52b-7ujx-qtoq-dqhj-khcq4njoxhyb,265742
6otfegxi-jwjv-e35n-3ssa-7ywx9imiubci,342583
crpbnna2-sf7u-0iiu-0o58-l8znbxie8fqd,747121
47tlcuew-fy1i-eazb-8fic-x0onseywx0zh,223309
64roc58z-t41i-uycq-cvb0-y8gjrffwhscx,947647
cmwu82xo-8xv8-lx98-sz45-58uidkve7j2y,938813
xiev56jv-lwyf-5trz-j77d-kmf59m65sgab,583030
q4sdvtuy-e3d8-2gqf-cxtq-ggzgk2c60ep3,938536
rksbdcyv-3xfv-zemv-kz94-ijs0d43ginan,142919
kh5kudwn-kxsw-rm7q-36c2-v6hu0fraek8n,360324
mm3nq0dw-t1ff-ha4k-yvpy-9uh5tlwzsbvz,494283
t7iabj5w-nt1d-syas-u1hw-5brss0lrfhbm,722096
z2ojzfai-4ixo-l4nw-0vxq-ffd5k4jke24y,849704
3epy07u8-1t8f-e2t9-vsvs-x1qlwckusn6x,459894
akmf7y7w-r6jj-idav-malc-x6leaqlk5ifj,252420
5tpfgsvy-lb63-ne8z-937i-fa87ftm7f579,334887
wug1e0xb-up1i-udrs-qurw-ojuj29styhp3,927093
b726tzrl-4vaa-60b6-lh4a-u4ljqde5lfhj,924328
vytjec5g-ii00-7wj9-978x-7km2kxag2ers,135018
s1ga79r8-pi1p-56k3-ny96-qa4rspinul97,699805
486qxm16-ktap-n3bk-8f7k-naz47tfb1nrq,473324
rdpi4uzg-us4m-6v64-au16-c6aylbyga8xi,447763
zemlow3e-2uxi-gvp0-8ta6-zmhc36c8koqd,310188
125uex4h-14bv-9vjx-lx0i-mpg4ugazh79b,307538
8zzap7pk-aio3-jbbh-f2ai-cs7bp2ypg0hn,847480
eys1cipg-sec6-34zn-clhc-k3j8j1w95rh1,399791
6e9h16ca-i6c6-j3le-q7xe-cvjagwmqavtx,580331
7t2610xe-6fqv-jn4w-s40f-sgy1zkecw6wk,678950
d6ibb3ws-ka6t-2r0j-vqsk-d0f5q1i0kf95,177173
5n4iiys8-khbn-wydz-92lc-ig7kx4ymvvhi,268663
8n0ty3ud-uqhk-dwgp-t4l2-9ve6lk5h9sge,803085
blq8yxqq-j4k9-nxcf-fmn4-riz5vg0tfccf,636012
0hziqkuw-gfay-q43z-0zc5-q0665fslcobb,630991
ted79ejj-a3xq-vd56-e70f-tqpi0jg0geiv,900013
ag5lvbwr-2i9c-8n4y-muwi-doq2pa0p6fw8,440743
itcee8g0-ade0-5wp2-r4n8-3v8363qocinu,359844
n258mzp5-0n8d-8ayk-e4gd-lbbp7gky3dpl,611732
rkqsw1q1-vu0p-9n3m-wuvq-wagicr6cq61v,101340
nf1gdocy-808d-m3wq-7bf5-fnp82q9ekgqi,175065
uab5cds8-sby9-tsnt-w9rx-u7irzozawf05,347978
oy6ktcsw-sttm-dzfy-hopq-j9y282k3ijzm,902097
kxynf8f7-67wh-vqgz-okvm-x5wqa0kzivea,158442
5hp0iaot-cg1q-b8is-ntpv-hb27f0utjhxr,307680
v4yz8033-deqq-5fl2-sfv8-fv2qtqd30cms,379848
8q970fi6-625b-9dr7-rbyo-oi6pqi98yizj,560406
fd80jrwh-ne4s-14fr-l1y9-m1adci1uw6ro,900312
fvobc0m3-pv3w-47dp-qtyq-00x3kgous5eg,722060
e82l83b7-dzpf-r6rv-8mym-rnmznda8sh4a,147854
f1f32zwo-77l9-m1a3-wmqu-82mac012w84d,964915
6k7qy753-q1gd-smlg-8f1f-oiuzxodpx9l1,841663
rma4dxwi-91b4-z4tk-suoz-4l9jfbxlf9sl,217304
3bv36y99-0f2z-kre3-sh6t-awm28fvzjbsc,943316
5jp3rpu6-byca-hqup-lfdi-bg8k3ae9zxh6,574201
uwqk0na6-ta52-leaj-ii4d-f65vv1fkw30c,183594
wkaxylqi-kwm1-1b0r-av45-0dmdkervsf8i,179845
mep4i19e-ledh-n98e-ipho-i8a7pruv2pri,165351
1in8ceyd-2oe0-1zdi-rl6o-9c42f3kolnmq,578269
1dyz7bl1-6uyp-g1l5-efsw-8fwwx2mt5hid,343404
jv2guaqa-whm4-jdvz-10ca-0j9v60jsxo19,447394
j8mazgao-2vwt-o4d4-20v1-dmcmgjjn1e2m,622689
dmd6175n-a42k-vp7e-5dfl-d49jsx15v6xq,746446
fj9n23f2-dtpl-kvfp-pbaw-iw1cvpxcf3ol,324420
qxixy0fy-bpbw-9r52-oohr-lxu0a22nivew,623601
mo2xdf46-2mu0-2fl0-xfiy-bzzt8roqe4qv,466740
j3f9rvej-tu3i-6sf5-7m7l-4rvkitviks32,351143
ef7yv3g0-i6gu-v7ow-tyf3-48b10ywoc5ki,537650
dp9jv3rx-ihnz-danv-dssu-1nud2mj8ebwv,943178
k1w3vpu6-cd5y-p49w-sea9-59vk8khpg5hl,477284
pj8rimc1-db6y-vvt0-oo0g-8rmuahn5me0y,169980
lnv2bhnr-oexn-lgwj-sbl4-jgfiognn5tvd,958295
glbn56qo-7yaq-tkor-0k7w-vul36yj37r2s,318631
yp3a9ng7-del6-i619-eqhi-drkc57yngkpd,982044
ztzejqqt-kg2n-lxvc-8t2o-j0faeyj9abq6,357489
hc1rluza-mdxi-8fr4-mxha-0t7xr7xskd1c,551829
7i6wi9az-zqrb-591u-smdq-awkm5f8cvemb,845939
5dlp9x18-pjlg-a74o-xhjd-b7rcq1fmvwfr,623599
djyj4eff-y5vr-e901-7aik-tid9q10nmg8v,750659
568fwsae-c107-lnja-nai2-7zwg5t6g53ym,380960
mgkh7dv4-6z2r-afsu-bm6w-evi0927yezns,999062
ow55nvio-rk75-pwlh-ful8-os4wl78r90y5,692847
caubeu2m-sxdm-doqh-khn7-7cwa448yewln,941442
dxpmpa2e-7wmv-rvd6-askl-vyaqgmt5vadh,992486
2rhje0zi-0x9z-qtr8-npcy-apmjph5gmasc,403569
uwwgiuxm-sr6f-3pc8-nycv-ntufp6sol38k,870277
5dosnp5o-kl3w-3qhx-k5dj-c6bpae28xqn4,947474
e27420z6-d9jf-2dgg-eaix-drrey6pg0rn9,110095
6bcenjki-vfki-61az-02o7-5xbd5uhj8or7,573999
8weagzpp-56s7-i3ek-bhrz-1b9dbjv4mmuk,851723
m57axluu-cxb1-l0fm-h2to-7eqd7f4ssn89,197752
9qk3s15k-zrgu-l7ge-eq6m-1rp0bghjnu6z,620912
3a1vkb26-swoo-thh7-3c45-rivl0nb3x63j,125980
r94dk0nh-4m2e-w4mr-q21p-jeinvrmi1mwj,416866
5k3rwvaj-lxr5-6ia3-dnkp-2ze150nn2y9x,779841
c6eogvb6-tq5s-ghwe-fww5-xogd21uwlkmx,910712
y8kkrn8m-hmee-khhe-oqcg-v4muoyo20v7e,735304
ilhosq3l-02vk-10bp-jgmi-hy3aphlcll8m,372356
0vlxtevz-um5r-kmud-ilbq-u5ttpia4hkdv,221222
yjhspps4-4enq-625v-w4jw-2bv0zjhiiejm,850105
a0o0vbff-5ovb-rm69-6yj0-pgacig5g5i55,551258
442nikeo-rhv2-7ln6-67jt-7yrznrqwnwi7,201915
33ctp9au-46hh-zev7-2ksi-l2y7yfo6qpkk,198384
inv4ofpo-k0j4-y7ev-zivp-ct2qvsrq42yh,188605
2nbpkw9k-x282-lk0a-5zzh-kb1pwgys4n0g,141439
fz0235e7-bk4w-4ydi-8ywq-qly6xg3ig92v,402073
kdlc2hlr-56ny-8dt8-js19-affodl2fr1as,235030
crnsz3x4-vena-4a3g-uokd-x9f67zszsgem,633188
r76hju0g-3hh7-0glt-786q-zdf76qhxnhzc,841480
0rsnal40-smaa-dfyv-rb4j-hd5utr6v1oaa,356801
y2g2mq2w-iya3-ucgx-2hgh-mn2xrmhnpp53,546645
hdfewo95-5l7n-kmhw-q00b-jlysby3jd1jz,860843
y2ygamy0-okl4-b6wq-ixc7-55vwf2tpyt3d,526675
e9lc9y6r-29yh-thxj-lja5-hyl6539th5xa,308343
m9yddu5b-ew3b-yfuo-4iar-3g01wzwq1wvd,849942
q9sa8asq-ecvk-4u9f-ibfg-0ecj6zynrl7u,844228
xhqda55i-b8wc-361v-fwyn-gn6xp6hbi3z0,589840
qw46e3pp-82ci-cyso-qo7y-hchvw1gj7hwy,867199
omj9s8o6-34ry-ibd3-tcjd-hqeoqhhutdbr,777120
020fsens-nz8t-opcx-u04h-9vohychsyqd0,706742
1br409vu-reyc-j358-sdft-eq7rk9gtykd2,425183
3omcxn2l-2oo3-c1sn-s1kl-clpb3euciktj,325214
w7px68ul-frfm-ptaw-x9h0-2rymwyhv5fgq,172353
9phwl28o-4w62-6dsh-8a8c-nd2qvaigxtfn,135871
ky9z9qr6-mzq9-bh2c-a9u9-srp5ulm3516d,937685
mf8u4a6a-yj2l-2re0-gyu8-m8lhptnxx5oq,590182
fjv9x3le-boe8-eq9g-ioiv-zmv3kuz1wjgu,633791
ajr7mcru-20vn-wutl-mtgf-31fj0i8csk89,350753
bjkiv4ix-zlfw-ci3c-t7d8-fp5qtafyj79w,759871
i2ts8ciz-e090-ejr4-r4bb-ltc2v0wlgi90,740781
am97la0s-57uc-cjqh-u9tg-eyaevmt7gfrd,677577
bbzpf41w-39fb-pxg7-109v-tdkrua0pw3bf,341149
gpguyy5m-rl6e-kvpr-skjv-uqba1t35rrg8,113751
6yl2os81-0xmv-iut9-nlde-sai4affdwfvt,739247
gocyw6zs-av2l-jvvn-3e1m-3b7835zdv32c,634560
o029sg2v-fv6m-r3gs-eku1-8x1t1nmvww9a,806415
759e7720-3zv2-1g39-5y21-twa347tls7by,155535
itig0pcg-u3na-mfi0-ka4o-ugy1i3mpmylr,186425
3l3efveu-6ktg-t793-gtsi-d1s7uq8a9uru,380275
i8tuqr2o-80ym-n1kf-r1jl-rrzwz7o3nj5a,517645
p1bc4r8t-3stp-dbnm-dd8w-yjy7xaiqde5x,178200
2mqrl6l5-d01d-es35-47iy-bwpgn9s8jbcz,524906
1m6p0sbk-eycv-k5fk-y0ez-3uum8jokfth6,447346
qrdfmnf9-jb33-gwt2-t1w6-457aeyigo49b,870191
jsbghavc-38i8-kexb-1vsx-r0d5xjg78qtm,908604
foat4vae-t5x9-fvv6-9xu5-52gu81me3n3a,160609
c7py7yzl-jllu-w3vv-d3yt-6snte6knzs09,165555
fvgdjgj2-oorm-h8x5-z70w-7n9tgq1jfsid,489718
